PuzzleID,FEN,Moves,Rating,Popularity,Themes,Opening,Display Theme,Tags
opening_00071 London Setup,r1bqkb1r/pp1p1ppp/2n1pn2/2p5/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 2 5,Nbd2,,,flexible mainline white,london_system,,OCP::00_Openings_Defences::flexible OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00072 London Accelerated,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d4,,,rapid mainline white,london_system,,OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::rapid OCP::00_Openings_Defences::white
opening_00073 London Accelerated,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d5,,,rapid mainline white,london_system,,OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::rapid OCP::00_Openings_Defences::white
opening_00074 London Accelerated,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,Bf4,,,rapid mainline white,london_system,,OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::rapid OCP::00_Openings_Defences::white
opening_00075 London Accelerated,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,c5,,,rapid mainline white,london_system,,OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::rapid OCP::00_Openings_Defences::white
opening_00076 London Accelerated,rnbqkbnr/pp2pppp/8/2pp4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,e3,,,rapid mainline white,london_system,,OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::rapid OCP::00_Openings_Defences::white
opening_00077 London Accelerated,rnbqkbnr/pp2pppp/8/2pp4/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,Nc6,,,rapid mainline white,london_system,,OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::rapid OCP::00_Openings_Defences::white
opening_00078 London Accelerated,r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq - 1 4,c3,,,rapid mainline white,london_system,,OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::rapid OCP::00_Openings_Defences::white
opening_00079 London Accelerated,r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/2P1P3/PP3PPP/RN1QKBNR b KQkq - 0 4,Nf6,,,rapid mainline white,london_system,,OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::rapid OCP::00_Openings_Defences::white
opening_00080 London Accelerated,r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1P3/PP3PPP/RN1QKBNR w KQkq - 1 5,Nf3,,,rapid mainline white,london_system,,OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::rapid OCP::00_Openings_Defences::white
opening_00081 London vs King&#x27;s Indian,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d4,,,flexible setup white,london_system,,OCP::00_Openings_Defences::flexible OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::setup OCP::00_Openings_Defences::white
opening_00082 London vs King&#x27;s Indian,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,Nf6,,,flexible setup white,london_system,,OCP::00_Openings_Defences::flexible OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::setup OCP::00_Openings_Defences::white
opening_00083 London vs King&#x27;s Indian,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,Bf4,,,flexible setup white,london_system,,OCP::00_Openings_Defences::flexible OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::setup OCP::00_Openings_Defences::white
opening_00084 London vs King&#x27;s Indian,rnbqkb1r/pppppppp/5n2/8/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 2 2,g6,,,flexible setup white,london_system,,OCP::00_Openings_Defences::flexible OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::setup OCP::00_Openings_Defences::white
opening_00085 London vs King&#x27;s Indian,rnbqkb1r/pppppp1p/5np1/8/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,e3,,,flexible setup white,london_system,,OCP::00_Openings_Defences::flexible OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::setup OCP::00_Openings_Defences::white
